Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"Q4,Q6,Q5,Q2,Q3,Q1",SOT-23,6,2N7002,http://it.farnell.com/infineon/2n7002h6327xtsa2/mosfet-n-ch-60v-0-3a-sot-23-3/dp/2443474
2,"Q8,Q7",SOT-23,2,BC849,http://it.farnell.com/nxp/bc849c-215/transistor-npn-30v-0-1a-sot-23/dp/1081237
3,"P2,P1",Pin_Header_Straight_1x05_Pitch2.54mm,2,CONN_01X05,http://it.farnell.com/molex/22-28-4050/connector-header-5pos-1row-2-54mm/dp/2381173
4,"R6,R12",R_0805_HandSoldering,2,1M,http://it.farnell.com/yageo-phycomp/rc0402fr-071ml/res-film-spesso-1m-1-0-063w-0402/dp/9239588
5,"R5,R11",R_0805_HandSoldering,2,100K,http://it.farnell.com/yageo-phycomp/rc0402fr-07100kl/res-film-spesso-100k-1-0-063w/dp/9239472
6,R7,R_0805_HandSoldering,1,560,http://it.farnell.com/multicomp/mcwr08x5600ftl/res-film-spesso-560r-1-0-125w/dp/2447686
7,"R15,R14",R_0805_HandSoldering,2,100,http://it.farnell.com/yageo-phycomp/rc0402fr-07100rl/res-film-spesso-100r-1-0-0625w/dp/9239111
8,"C3,C1",C_0805_HandSoldering,2,22u,http://it.farnell.com/multicomp/mc0402x224k6r3ct/condens-mlcc-x5r-220nf-6-3v-0402/dp/1759373
9,"R9,R4",R_0805_HandSoldering,2,10K,http://it.farnell.com/yageo-phycomp/rc0402fr-0710kl/res-film-spesso-10k-1-0-0625w/dp/9239359
10,R3,R_0805_HandSoldering,1,75,http://it.farnell.com/multicomp/mcwr08x75r0ftl/res-film-spesso-75r-1-0-125w-0805/dp/2447721
11,R8,R_0805_HandSoldering,1,50,http://it.farnell.com/welwyn/asc0805-47rft5/res-film-spesso-47r-1-0-125w-0805/dp/2078945
12,"R1,R10",R_0805_HandSoldering,2,47k,http://it.farnell.com/multicomp/mc00625w0402147k/res-film-spesso-47k-1-0-0625w/dp/1358087
13,U1,MICS-4514,1,MICS-4514,
14,"R13,R2",R_0805_HandSoldering,2,R,
15,D1,SOT-23,1,ZENER,
